date,startup,vertical,subvertical,city,investors,rounds,amount
2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,0.825
2016-11-30,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,Tvs Group,Seed Funding,4.125
2016-10-03,MeraKisan,ECommerce,Fruit & vegetable eTailer,Bengaluru,Mahindra Univeg,Seed Funding,0.0
2016-10-03,World Art Community,ECommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi,Seed Funding,1.65
2016-10-04,Giftxoxo,ECommerce,Online Gifting platform,Bengaluru,Mahindra Holidays,Private Equity,3.7125
2016-10-04,Giftxoxo,ECommerce,Online Gifting platform,Bengaluru,Resorts India Ltd,Private Equity,3.7125
2016-10-04,India Gifts Portal,ECommerce,Online Gifting platform,Noida,Naveen Arya,Private Equity,16.5
2016-10-04,India Gifts Portal,ECommerce,Online Gifting platform,Noida,Tarun Joshi,Private Equity,16.5
2016-10-04,Moglix,ECommerce,Industrial & Home products marketplace,Noida,Seedplus,Private Equity,34.65
2016-10-04,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,Xchange Investors Nv,Private Equity,24.75
2016-10-04,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,Transglobal Fzc,Private Equity,24.75
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,Pravin G,Seed Funding,8.25
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,\\Xc2\\Xa0 Smart Start Fund; Kunal Shah,Seed Funding,8.25
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,\\Xc2\\Xa0,Seed Funding,8.25
2016-10-04,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,Russian Venture Capital Fund Ru-Net,Private Equity,30.9375
2016-10-05,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bengaluru,Healthquad,Private Equity,0.0
2016-10-06,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bengaluru,Ventureast Fund Advisors,Seed Funding,0.0
2016-10-06,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,0.0
2016-10-07,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bengaluru,Hax Accel,Seed Funding,0.825
2016-10-07,KOOH Sports,Technology,Sports Training & Technology,Mumbai,Hdfc,Private Equity,18.15
2016-10-07,KOOH Sports,Technology,Sports Training & Technology,Mumbai,Faering Capital,Private Equity,18.15
2016-10-07,KOOH Sports,Technology,Sports Training & Technology,Mumbai,Elevate Sports,Private Equity,18.15
2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,Sanjay Nayar,Private Equity,123.75
2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,Anil Jaggia,Private Equity,123.75
2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,Narayan Seshadri,Private Equity,123.75
2016-10-07,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan,Seed Funding,0.0
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,Nitin Passi,Seed Funding,4.125
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,Manickam Mahalingam,Seed Funding,4.125
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,Udaan Angels,Seed Funding,4.125
